DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.252482	25	2	1	1	12	2	1	0	730	0	0	38.8264	0	0
DL	0.252732	25	2	2	1	12	2	1	0	730	0	0	38.8626	0	0
DL	0.252982	25	2	3	1	12	2	1	0	730	0	0	38.8813	0	0
DL	0.253232	25	3	0	1	12	2	1	0	25224	28	0	38.8383	0	0
DL	0.253482	25	3	1	1	12	2	1	0	25224	28	0	38.8072	0	0
DL	0.253714	25	3	2	1	11	2	1	0	23120	28	0	38.7663	0	0
UL	0.253732	25	3	2	12	1	2	1	0	58	0	0	38.7397 	0	0
DL	0.253929	25	3	3	1	9	2	1	0	18918	28	0	38.7822	0	0
UL	0.253946	25	3	3	10	1	2	1	0	58	0	0	38.7624 	0	0
DL	0.254143	25	4	0	1	7	2	1	0	14713	28	0	38.7716	0	0
UL	0.254161	25	4	0	8	1	2	1	0	58	0	0	38.8084 	0	0
DL	0.254393	25	4	1	1	7	2	1	0	14713	28	0	38.8067	0	0
DL	0.254643	25	4	2	1	7	2	1	0	14713	28	0	38.7791	0	0
DL	0.254893	25	4	3	1	7	2	1	0	14713	28	0	38.777	0	0
DL	0.255143	25	5	0	1	7	2	1	0	14713	28	0	38.7045	0	0
DL	0.255393	25	5	1	1	7	2	1	0	14713	28	0	38.7123	0	0
DL	0.255643	25	5	2	1	7	2	1	0	14713	28	0	38.7023	0	0
DL	0.255893	25	5	3	1	7	2	1	0	14713	28	0	38.6407	0	0
DL	0.256143	25	6	0	1	7	2	1	0	14713	28	0	38.6776	0	0
DL	0.256393	25	6	1	1	7	2	1	0	14713	28	0	38.6491	0	0
DL	0.256643	25	6	2	1	7	2	1	0	14713	28	0	38.6482	0	0
DL	0.256893	25	6	3	1	7	2	1	0	14713	28	0	38.6051	0	0
DL	0.257143	25	7	0	1	7	2	1	0	14713	28	0	38.6713	0	0
DL	0.257393	25	7	1	1	7	2	1	0	14713	28	0	38.6523	0	0
DL	0.257643	25	7	2	1	7	2	1	0	14713	28	0	38.5495	0	0
DL	0.257893	25	7	3	1	7	2	1	0	14713	28	0	38.5211	0	0
DL	0.258143	25	8	0	1	7	2	1	0	14713	28	0	38.5468	0	0
DL	0.258393	25	8	1	1	7	2	1	0	14713	28	0	38.5493	0	0
DL	0.258643	25	8	2	1	7	2	1	0	14713	28	0	38.5617	0	0
DL	0.258893	25	8	3	1	7	2	1	0	14713	28	0	38.558	0	0
DL	0.259143	25	9	0	1	7	2	1	0	14713	28	0	38.5622	0	0
DL	0.259393	25	9	1	1	7	2	1	0	14713	28	0	38.5641	0	0
DL	0.259643	25	9	2	1	7	2	1	0	14713	28	0	38.5629	0	0
DL	0.259893	25	9	3	1	7	2	1	0	14713	28	0	38.5127	0	0
DL	0.260143	26	0	0	1	7	2	1	0	14713	28	0	38.5154	0	0
DL	0.260393	26	0	1	1	7	2	1	0	14713	28	0	38.4913	0	0
DL	0.260643	26	0	2	1	7	2	1	0	14713	28	0	38.4601	0	0
DL	0.260893	26	0	3	1	7	2	1	0	14713	28	0	38.4095	0	0
DL	0.261143	26	1	0	1	7	2	1	0	14713	28	0	38.4663	0	0
DL	0.261393	26	1	1	1	7	2	1	0	14713	28	0	38.4697	0	0
DL	0.261643	26	1	2	1	7	2	1	0	14713	28	0	38.4561	0	0
DL	0.261893	26	1	3	1	7	2	1	0	14713	28	0	38.4232	0	0
DL	0.262143	26	2	0	1	7	2	1	0	14713	28	0	38.3982	0	0
DL	0.262393	26	2	1	1	7	2	1	0	14713	28	0	38.3186	0	0
DL	0.262643	26	2	2	1	7	2	1	0	14713	28	0	38.2885	0	0
DL	0.262893	26	2	3	1	7	2	1	0	14713	28	0	38.2416	0	0
DL	0.263143	26	3	0	1	7	2	1	0	14713	28	0	38.1833	0	0
DL	0.263393	26	3	1	1	7	2	1	0	14713	28	0	38.1408	0	0
DL	0.263643	26	3	2	1	7	2	1	0	14713	28	0	38.2057	0	0
DL	0.263893	26	3	3	1	7	2	1	0	14713	28	0	38.171	0	0
DL	0.264143	26	4	0	1	7	2	1	0	14713	28	0	38.1351	0	0
DL	0.264393	26	4	1	1	7	2	1	0	14713	28	0	38.1097	0	0
UL	0.264411	26	4	1	8	1	2	1	0	2104	28	0	38.1229 	0	0
DL	0.264643	26	4	2	1	7	2	1	0	14713	28	0	38.1513	0	0
UL	0.264661	26	4	2	8	1	2	1	0	2104	28	0	38.1446 	0	0
DL	0.264893	26	4	3	1	7	2	1	0	14713	28	0	38.1422	0	0
UL	0.264911	26	4	3	8	1	2	1	0	2104	28	0	38.1521 	0	0
DL	0.265143	26	5	0	1	7	2	1	0	14713	28	0	38.1736	0	0
DL	0.265393	26	5	1	1	7	2	1	0	14713	28	0	38.1929	0	0
DL	0.265643	26	5	2	1	7	2	1	0	14713	28	0	38.1648	0	0
DL	0.265893	26	5	3	1	7	2	1	0	14713	28	0	38.2134	0	0
DL	0.266143	26	6	0	1	7	2	1	0	14713	28	0	38.2429	0	0
DL	0.266393	26	6	1	1	7	2	1	0	14713	28	0	38.1953	0	0
DL	0.266643	26	6	2	1	7	2	1	0	14713	28	0	38.2897	0	0
DL	0.266893	26	6	3	1	7	2	1	0	14713	28	0	38.3428	0	0
DL	0.267143	26	7	0	1	7	2	1	0	14713	28	0	38.3124	0	0
DL	0.267393	26	7	1	1	7	2	1	0	14713	28	0	38.2496	0	0
DL	0.267643	26	7	2	1	7	2	1	0	14713	28	0	38.2751	0	0
DL	0.267893	26	7	3	1	7	2	1	0	14713	28	0	38.244	0	0
DL	0.268143	26	8	0	1	7	2	1	0	14713	28	0	38.2559	0	0
DL	0.268393	26	8	1	1	7	2	1	0	14713	28	0	38.2489	0	0
DL	0.268643	26	8	2	1	7	2	1	0	14713	28	0	38.1663	0	0
DL	0.268893	26	8	3	1	7	2	1	0	14713	28	0	38.1653	0	0
DL	0.269143	26	9	0	1	7	2	1	0	14713	28	0	38.1696	0	0
DL	0.269393	26	9	1	1	7	2	1	0	14713	28	0	38.1439	0	0
DL	0.269643	26	9	2	1	7	2	1	0	14713	28	0	38.1177	0	0
DL	0.269893	26	9	3	1	7	2	1	0	14713	28	0	38.1778	0	0
DL	0.270143	27	0	0	1	7	2	1	0	14713	28	0	38.2342	0	0
DL	0.270393	27	0	1	1	7	2	1	0	14713	28	0	38.2488	0	0
DL	0.270643	27	0	2	1	7	2	1	0	14713	28	0	38.3147	0	0
DL	0.270893	27	0	3	1	7	2	1	0	14713	28	0	38.3601	0	0
DL	0.271143	27	1	0	1	7	2	1	0	14713	28	0	38.3607	0	0
DL	0.271393	27	1	1	1	7	2	1	0	14713	28	0	38.4267	0	0
DL	0.271643	27	1	2	1	7	2	1	0	14713	28	0	38.4557	0	0
DL	0.271893	27	1	3	1	7	2	1	0	14713	28	0	38.5068	0	0
DL	0.272143	27	2	0	1	7	2	1	0	14713	28	0	38.4774	0	0
DL	0.272393	27	2	1	1	7	2	1	0	14713	28	0	38.4969	0	0
DL	0.272643	27	2	2	1	7	2	1	0	14713	28	0	38.4724	0	0
DL	0.272893	27	2	3	1	7	2	1	0	14713	28	0	38.5133	0	0
DL	0.273143	27	3	0	1	7	2	1	0	14713	28	0	38.5278	0	0
DL	0.273393	27	3	1	1	7	2	1	0	14713	28	0	38.5332	0	0
DL	0.273643	27	3	2	1	7	2	1	0	14713	28	0	38.5292	0	0
DL	0.273893	27	3	3	1	7	2	1	0	14713	28	0	38.5206	0	0
DL	0.274143	27	4	0	1	7	2	1	0	14713	28	0	38.5103	0	0
DL	0.274393	27	4	1	1	7	2	1	0	14713	28	0	38.4559	0	0
DL	0.274643	27	4	2	1	7	2	1	0	14713	28	0	38.4595	0	0
DL	0.274893	27	4	3	1	7	2	1	0	14713	28	0	38.535	0	0
DL	0.275143	27	5	0	1	7	2	1	0	14713	28	0	38.5297	0	0
UL	0.275161	27	5	0	8	1	2	1	0	2104	28	0	38.5309 	0	0
DL	0.275393	27	5	1	1	7	2	1	0	14713	28	0	38.5136	0	0
UL	0.275411	27	5	1	8	1	2	1	0	2104	28	0	38.5274 	0	0
DL	0.275643	27	5	2	1	7	2	1	0	14713	28	0	38.506	0	0
UL	0.275661	27	5	2	8	1	2	1	0	2104	28	0	38.4715 	0	0
DL	0.275893	27	5	3	1	7	2	1	0	14713	28	0	38.4885	0	0
DL	0.276143	27	6	0	1	7	2	1	0	14713	28	0	38.4671	0	0
DL	0.276393	27	6	1	1	7	2	1	0	14713	28	0	38.4644	0	0
DL	0.276643	27	6	2	1	7	2	1	0	14713	28	0	38.4809	0	0
DL	0.276893	27	6	3	1	7	2	1	0	14713	28	0	38.4304	0	0
DL	0.277143	27	7	0	1	7	2	1	0	14713	28	0	38.3857	0	0
DL	0.277393	27	7	1	1	7	2	1	0	14713	28	0	38.401	0	0
DL	0.277643	27	7	2	1	7	2	1	0	14713	28	0	38.3712	0	0
DL	0.277893	27	7	3	1	7	2	1	0	14713	28	0	38.369	0	0
DL	0.278143	27	8	0	1	7	2	1	0	14713	28	0	38.3414	0	0
DL	0.278393	27	8	1	1	7	2	1	0	14713	28	0	38.3684	0	0
DL	0.278643	27	8	2	1	7	2	1	0	14713	28	0	38.3637	0	0
DL	0.278893	27	8	3	1	7	2	1	0	14713	28	0	38.3944	0	0
DL	0.279143	27	9	0	1	7	2	1	0	14713	28	0	38.4154	0	0
DL	0.279393	27	9	1	1	7	2	1	0	14713	28	0	38.4279	0	0
DL	0.279643	27	9	2	1	7	2	1	0	14713	28	0	38.4245	0	0
DL	0.279893	27	9	3	1	7	2	1	0	14713	28	0	38.411	0	0
DL	0.280143	28	0	0	1	7	2	1	0	14713	28	0	38.4151	0	0
DL	0.280393	28	0	1	1	7	2	1	0	14713	28	0	38.4642	0	0
DL	0.280643	28	0	2	1	7	2	1	0	14713	28	0	38.3983	0	0
DL	0.280893	28	0	3	1	7	2	1	0	14713	28	0	38.3573	0	0
DL	0.281143	28	1	0	1	7	2	1	0	14713	28	0	38.3982	0	0
DL	0.281393	28	1	1	1	7	2	1	0	14713	28	0	38.4053	0	0
DL	0.281643	28	1	2	1	7	2	1	0	14713	28	0	38.4144	0	0
DL	0.281893	28	1	3	1	7	2	1	0	14713	28	0	38.4261	0	0
DL	0.282143	28	2	0	1	7	2	1	0	14713	28	0	38.4358	0	0
DL	0.282393	28	2	1	1	7	2	1	0	14713	28	0	38.4704	0	0
DL	0.282643	28	2	2	1	7	2	1	0	14713	28	0	38.4587	0	0
DL	0.282893	28	2	3	1	7	2	1	0	14713	28	0	38.4208	0	0
DL	0.283143	28	3	0	1	7	2	1	0	14713	28	0	38.4622	0	0
DL	0.283393	28	3	1	1	7	2	1	0	14713	28	0	38.4725	0	0
DL	0.283643	28	3	2	1	7	2	1	0	14713	28	0	38.4483	0	0
DL	0.283893	28	3	3	1	7	2	1	0	14713	28	0	38.4748	0	0
DL	0.284143	28	4	0	1	7	2	1	0	14713	28	0	38.4832	0	0
DL	0.284393	28	4	1	1	7	2	1	0	14713	28	0	38.4718	0	0
DL	0.284643	28	4	2	1	7	2	1	0	14713	28	0	38.5226	0	0
DL	0.284893	28	4	3	1	7	2	1	0	14713	28	0	38.5882	0	0
DL	0.285143	28	5	0	1	7	2	1	0	14713	28	0	38.546	0	0
DL	0.285393	28	5	1	1	7	2	1	0	14713	28	0	38.5655	0	0
DL	0.285643	28	5	2	1	7	2	1	0	14713	28	0	38.6164	0	0
DL	0.285893	28	5	3	1	7	2	1	0	14713	28	0	38.5618	0	0
UL	0.285911	28	5	3	8	1	2	1	0	2104	28	0	38.5857 	0	0
DL	0.286143	28	6	0	1	7	2	1	0	14713	28	0	38.6123	0	0
UL	0.286161	28	6	0	8	1	2	1	0	2104	28	0	38.6014 	0	0
